band_name,corrected_band_name,average_price,mbid,listeners,playcount,actual_known_cost?,bio_intro,image_url
India.Arie,India.Arie,"$62,500",38c7a3b2-17fb-4166-b964-4e445d69efdd,602787,7158083,TRUE,"India.Arie, born India Arie Simpson on October 3, 1975, in Denver, Colorado.She absorbed musical skill early in life, encouraged by both parents: her mother, Joyce, herself a former singer, and now India Arie's stylist; and her father, former ABA and NBA basketball player Ralph Simpson (not former NBA star player Ralph Sampson, as has been mistakenly reported in some media). She had taken up a succession of musical instruments throughout her schooling in Denver <a href=""https://www.last.fm/music/India.Arie"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/30095256b38846359edf5cc5c6209fa4.png
James Blunt,James Blunt,"$105,000",ebee61b4-bbdd-4087-9bcb-d5aa099088ec,2012994,41783844,TRUE,"James Blunt (born James Hillier Blount, 22 February 1974) is an English singer/songwriter whose debut album, Back to Bedlam, and single releases ã®´ã®´ã®´ especially the number one hit ""You're Beautiful"" ã®´ã®´ã®´ brought him to fame in 2005. He was born in Tidworth, Wiltshire, United Kingdom. His style is a mix of pop, rock and folk. Along with vocals, Blunt plays a wide variety of instruments including the piano, guitar, organ, marimba, and mellotron. Blunt was educated at Elstree School <a href=""https://www.last.fm/music/James+Blunt"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/b068044a1a964a4a890359c407ba4dc8.png
Jason Derulo,Jason Derulo,"$75,000",,0,0,TRUE,"This is an incorrect tag for Jason Derã®´_lo. If you have last.fm Autocorrection turned on, your scrobbles will automatically redirect to the correct artist name. Otherwise, please fix your artist ID3 tags. <a href=""https://www.last.fm/music/+noredirect/Jason+Derulo"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/c4dc25ffa3a44547c56bc8000b775e0c.png
Jewel,Jewel,"$87,500",d5b637f0-74b8-4df6-bddf-dc3784a6881a,843696,10648387,TRUE,"Jewel Kilcher (born May 23, 1974 in Payson, Utah, United States) is a singer, songwriter, actress, and poet, generally known just by her first name, Jewel. She has received four Grammy Award nominations.Jewel is the daughter of Nedra Carroll, an artist and personal manager, and Atz Kilcher, an elementary school music teacher, folk singer and social worker. Her mother of Irish descent and her father is of Swiss-German origin. She is the cousin of actress Q'Orianka Kilcher. <a href=""https://www.last.fm/music/Jewel"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/38baf9d2cd6e4a55babe68777d6c61d1.png
Jill Scott,Jill Scott,"$100,000",b1fb6a18-1626-4011-80fb-eaf83dfebcb6,593475,8132383,TRUE,"Born Jill Heather Scott in the North Philly neighborhood of the City of Philadelphia, PA  on April 4, 1972.  She began her career as a performance poet. She was discovered by Amir ""Questlove"" Thompson of The Roots. Questlove invited her to join the band in the studios. Which resulted in the live version of ""You Got Me"" in 1999. Subsequently, she collaborated with Eric Benet, Will Smith, Lupe Fiasco, Common and broadened her performing experience by touring Canada in a production of the Broadway musical Rent. <a href=""https://www.last.fm/music/Jill+Scott"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3a2951b98f664035a5a896401e636346.png
Josh Turner,Josh Turner,"$75,000",a19d4ee1-091c-4884-a1cd-e959fd581576,444387,3657484,TRUE,"Josh Turner (born Joshua Otis Turner, November 20, 1977 in Hannah, South Carolina) is an American country music singer-songwriter.Josh Turner is a  country artist who describes his music as South Carolina Lowcountry. His voice and musical style has often been compared to that of Johnny Cash's.  Hailing from the Hannah, South Carolina, Josh moved to Nashville in 1996 to study music at Belmont University. It was there that he met his current wife, Jennifer Ford, whom he married in 2003. <a href=""https://www.last.fm/music/Josh+Turner"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/83a86870f71244fd96ebfdb4d79d5b95.png
KC&Sunshine Band,Kc,"$62,500",dc78f891-4416-4236-8889-969c41e86517,32443,146277,TRUE,"There are several artists with the name KC:1) KC - a rapper from Amsterdam, NL2) KC - a Drum & Bass and techno producer from Cleveland, Ohio3) KC - a pop/rock artist from the Netherlands4) KC - _ã®´n instrumental progressive rock one-man-band from France5) KC - an independent rapper from london, UK6) KC - A Bop Rapper from Chicago USA- - - - - - - - -1) KC - a rapper from Amsterdam, NLKC is a rapper from Amsterdam in the Netherlands and is part of the SMIB collective <a href=""https://www.last.fm/music/Kc"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/7e60593f565966bfea346ebe1d42506f.png
Kellie Pickler,Kellie Pickler,"$70,000",4c567ed6-8bc9-447a-bbd5-1dce18e4ee81,326367,2274403,TRUE,"Kellie Dawn Pickler (born June 28, 1986) is an American singer best known for her sixth-place finish on the fifth season of American Idol. She was eliminated from the show on April 26, 2006.Kellie Pickler had a difficult upbringing. The Tough Songfacts  explains that Kellie was raised by her grandparents, after her mother abandoned her and her alcoholic father spent time in and out of jail. The 21-year-old Pickler auditioned for American Idol in the fall of 2005 in Greensboro, North Carolina. <a href=""https://www.last.fm/music/Kellie+Pickler"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/06762f70636a4809a1231447d28cc3d5.png
Kelly Rowland,Kelly Rowland,"$65,000",31bea673-d23a-4889-8da1-7cb040863268,1128598,11215230,TRUE,"Kelendria Trene Rowland (born February 11, 1981) is an American R&B singer, songwriter, dancer, actress, and five-time Grammy award winner who rose to fame as one of the founding members of the very successful R&B girl group Destiny's Child.After a series of commercially successful releases with the group and a worldwide number-one success with rapper Nelly and their Grammy-winning single ""Dilemma"", Rowland released her debut solo album Simply Deep in 2002. <a href=""https://www.last.fm/music/Kelly+Rowland"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/32a4398d4d18bfc1f59846cfad3d72eb.png
Kenny Rogers,Kenny Rogers,"$65,000",c3d14b41-a48d-488f-bfed-ce0597bb0b1f,470667,3802563,TRUE,"Kenneth Donald Rogers (born August 21, 1938, in Houston, Texas) is a prolific American country music singer, photographer, producer, songwriter, actor and businessman. Kenny Rogers graduated from Jefferson Davis High School in Houston.Although he has been very successful, charting more than 60 top 40 hit singles across various music genres and topping the country and pop album charts for more than 100 individual weeks in the United States alone, many still consider him a vastly underrated artist. <a href=""https://www.last.fm/music/Kenny+Rogers"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/2b6ace04b5bd42b096032776e0ecf16a.png
Keri Hilson,Keri Hilson,"$62,500",b76c616a-ec0d-4f0c-b986-f249c4a04d77,1176714,10812170,TRUE,"Keri Lynn Hilson (born December 5, 1982 in Decatur, Georgia, USA) is a Grammy nominated American R&B singer-songwriter signed to Timbaland's Mosley Music Group. She is also a part of a collective of writers and producers known as The Clutch, and has written hits for many artists including Britney Spears, Usher, Ciara, Ludacris and Omarion,  After performing on Xzibit's hit song Hey Now (Mean Muggin') and Timbaland's album Shock Value she released her debut album, In A Perfect World. <a href=""https://www.last.fm/music/Keri+Hilson"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/72600ce0003cfa73c9448f0f59d115a9.png
Keyshia Cole,Keyshia Cole,"$92,500",ef73e6ed-9096-4ddb-9799-b94874d0ce33,671904,5846794,TRUE,"Keyshia Myeshia Cole (born October 15, 1981) better known as Keyshia Cole  is an American R&B/Soul/Hip-Hop recording artist. She released her platinum selling debut album The Way It Is in June 2005, and her sophomore platinum album Just Like You in September 2007. Cole's third studio album, A Different Me was released on December 16, 2008, and is also certified platinum. A fourth album,  Calling All Hearts was released on December 21, 2010 becoming her fourth consecutive top ten album. <a href=""https://www.last.fm/music/Keyshia+Cole"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/4945eaa8b42d0bedd624fc3d73f1efc3.png
Korn,Korn,"$105,000",ac865b2e-bba8-4f5a-8756-dd40d5e39f46,2519362,127184620,TRUE,"Korn (stylized as Ko_ã®´n) is an American nu metal band from Bakersfield, California, formed in 1992. The current band line up includes five members: Jonathan Davis, James Shaffer, Reginald Arvizu, Brian Welch and Ray Luzier. The band was formed as an expansion of L.A.P.D. They have collaborated with musicians such as Chino Moreno from Deftones, Fred Durst from nu metal band Limp Bizkit, Ice Cube, Tre Hardson from The Pharcyde, Skrillex and Nas.The band released their first demo album, Neidermeyer's Mind, in 1993. <a href=""https://www.last.fm/music/Korn"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/ebe1b24a76cb407a89f871d688f9b1dc.png
Krewella,Krewella,"$62,500",d87475fa-76a1-4e12-962c-fc9941fdda72,364297,6636042,TRUE,"Krewella is an electro group from Chicago, USA, comprised of sisters Jahan and Yasmine Yousaf, formerly joined by producer Rain Man. Making their debut in the summer of 2011, the trio instantly exploded onto the electro scene with their genre defying releases. Seamlessly merging infectious melodies with snarling dubstep drops, Krewella defines norms in EDM music.  Onstage, the energy of Krewella's DJ sets is contagious. With unrelenting growling bass, fans will find themselves raging harder than they ever have before. <a href=""https://www.last.fm/music/Krewella"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/142db3228c523243ac17ad5d2929d8db.png
Lana Del Ray,Lana Del Ray,"$75,000",,0,0,TRUE,"Correct artist name is Lana Del Rey. <a href=""https://www.last.fm/music/+noredirect/Lana+Del+Ray"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/7d90d18c9d384f5dcfa4e15af648655f.png
Leann Rimes,LeAnn Rimes,"$62,500",a9778727-c913-4caa-93d9-2f4975c30baf,551095,5546349,TRUE,"Margaret LeAnn Rimes (born August 28, 1982, in Jackson, Mississippi) is a popular American country and pop music singer. Rimes emerged with her first single, ""Blue,"" when she was just thirteen years old in 1996. She is most recognized for her crossover hit ""How Do I Live"" which, according to the Billboard charts, is one of the most successful songs in American music history, spending 69 weeks on the Hot 100 chart, which currently stands as the second longest run in the chart's history (behind Jason Mraz's ""I'm Yours""). <a href=""https://www.last.fm/music/LeAnn+Rimes"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/e5409440567a401ac06a42ab8a530957.png
Lee Ann Womack,Lee Ann Womack,"$65,000",16c5bb7a-35b7-418d-880e-7ed3399f1b40,274016,1864214,TRUE,"Lee Ann Womack (born August 19, 1966, in Jacksonville, Texas) is a country music artist who may best be known for her 2000 crossover hit, ""I Hope You Dance"".Her 1997 self-titled debut album brought her onto the country music scene as a herald of a more neotraditional country music sound, in a genre that had begun to sound more pop-oriented with the likes of LeAnn Rimes, Faith Hill and Shania Twain topping the charts. The hits from that first album were ""Never Again, Again"", ""The Fool"" and ""You've Got To Talk To Me."" <a href=""https://www.last.fm/music/Lee+Ann+Womack"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/85b3c9c7bea1406ba12e5ae06ddac05f.png
Lifehouse,Lifehouse,"$92,500",04591295-6d94-45cb-b6c7-1ae17c6f380e,1562423,37113875,TRUE,"Lifehouse is a post-grunge band pioneered by lead singer and songwriter Jason Wade. In the last 14 years, Lifehouse has released six albums, debuting with the multi-platinum album No Name Face in the year 2000. The group includes Jason Wade (lead vocals, guitar), Rick Woolstenhulme Jr. (drums, percussion) and Bryce Soderberg (vocals, bass guitar). They have sold upwards of fifteen million singles and albums worldwide to date.The band holds its roots in California <a href=""https://www.last.fm/music/Lifehouse"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/8cdd3891a5eb4c7194c56a0246d2d770.png
Lonestar,Lonestar,"$67,500",6930354c-c8fb-4b5b-8835-02132483680c,438862,3095986,TRUE,"There are at least 3 artists called Lonestar:1) Lonestar is an American country music group consisting of Richie McDonald (lead vocals), Michael Britt (lead guitar, background vocals), Keech Rainwater (drums), Dean Sams (keyboards, melodica, background vocals), and Michael Hill (Bass Guitar). McDonald left the band in November 2007 for a solo career before returning in 2011. During that time, Cody Collins, who had formerly been in another country group called McAlyster, replaced McDonald as the band's lead vocalist. <a href=""https://www.last.fm/music/Lonestar"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/db28e03501664bdab847bdb4d10b47a8.png
Ludacris,Ludacris,"$70,000",0638ba22-040f-438d-83a5-9b670c4adaf5,1918586,19790646,TRUE,"Christopher Brian Bridges (born September 11, 1977 in Champaign, Illinois), better known by his stage name Ludacris, is a Grammy award winning American rapper, SAG award winning actor and co-founder of the label Disturbing Tha Peace. He is the highest selling Southern hip hop solo artist of all time with over 15 million units sold in the United States and around 20 million records sold worldwide. He released his debut album Incognegro in 1999 and has since released a further seven albums. <a href=""https://www.last.fm/music/Ludacris"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/8ce6184dc7eb4cc2a65ba18f4ac5109f.png
Lupe Fiasco,Lupe Fiasco,"$72,500",cf15719f-51f9-4db8-a15d-5eed9664ce69,1981161,39214675,TRUE,"Wasalu Muhammad Jaco (born February 16, 1982 in Chicago, Illinois), better known by his stage name Lupe Fiasco, is a Grammy Award-winning American hip-hop artist and producer. He first became known to the mainstream hip-hop community in 2005 when he appeared on Kanye West's album Late Registration on the track ""Touch the Sky."" In 2006 Lupe released his debut album, Lupe Fiasco's Food & Liquor on Atlantic Records, and in December 2007 he released his second full length album, Lupe Fiasco's The Cool  . <a href=""https://www.last.fm/music/Lupe+Fiasco"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/215ab2337435408ec01c69cc18577594.png
Mac Miller,Mac Miller,"$92,500",a0e8a1b1-5f8f-475a-a253-17415c17d0ff,951778,26546865,TRUE,"Mac Miller is an American rapper from Pittsburgh, Pennsylvania. He is also a noted record producer under the pseudonym Larry Fisherman. He is signed to Pittsburgh based Rostrum Records and released his debut album Blue Slide Park on November 8, 2011 which debuted at number 1 on the Billboard 200 despite being released completely independently. His second studio album Watching Movies with the Sound Off was released on June 18, 2013. <a href=""https://www.last.fm/music/Mac+Miller"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/a2f146051d45e2c24d2e77d819223bf4.png
MGMT,MGMT,"$92,500",c485632c-b784-4ee9-8ea1-c5fb365681fc,2733674,93805973,TRUE,"MGMT are an electropop band which formed in 2002 in Middletown, Connecticut, United States. The band consists of  Andrew VanWyngarden (lead vocals, multiple instruments) and Ben Goldwasser (multiple instruments, vocals). The duo was signed to Columbia Records in 2006 and have since released four albums: ""Oracular Spectacular"" (2007), ""Congratulations"" (2010), ""MGMT"" (2013) and ""Little Dark Age"" (2018). They are best known for their 2008 singles ""Time to Pretend"", ""Electric Feel"" and ""Kids"", all of which were worldwide hits. <a href=""https://www.last.fm/music/MGMT"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/30dd538e7ab64eb0aedb807931bf3250.png
Nas,Nas,"$87,500",cfbc0924-0035-4d6c-8197-f024653af823,1906619,47273305,TRUE,"Nasir bin Olu Dara Jones, more commonly known as Nas (formerly Nasty Nas and Escobar), born September 14, 1973 in Crown Heights, Brooklyn, New York, is a prominent American MC. The son of jazz musician Olu Dara, he was raised in the infamous Queensbridge housing projects in Queensbridge, New York. According to the Nasty Songfacts, as a teenager rapper, Nasir  first went by the nickname Kid Wave before adopting his more commonly known alias of Nasty Nas. <a href=""https://www.last.fm/music/Nas"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/8afc018dc6734428a3d84a493f26f7da.png
Ne-Yo,Ne-Yo,"$87,500",,1836968,25288951,TRUE,"Shaffer Chimere Smith (born on October 18, 1979 in Camden, Arkansas), better known by his stage name Ne-Yo, is a Grammy Award winning American R&B singer, producer and actor currently signed to Def Jam Records. In 2006 he released his debut album In My Own Words, which featured the hit single So Sick. The song reached #1 on the Billboard Hot 100 and helped his album debut at #1 on the Billboard 200. He has since released 2007's Grammy award winning Because of You and 2008's Year of the Gentleman <a href=""https://www.last.fm/music/Ne-Yo"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/ecd56e01e2850b493de2fa0fc885f73e.png
NERD,Nerd,"$62,500",9cd4c125-20e9-4e13-a2b2-95c5d9141e41,0,0,TRUE," <a href=""https://www.last.fm/music/+noredirect/Nerd"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3fa90bd8beaf4b69b0613e57cda54670.png
Norah Jones,Norah Jones,"$62,500",985c709c-7771-4de3-9024-7bda29ebe3f9,2027561,65524034,TRUE,"Norah Jones, born on March 30th 1979 in New York City, is one of the most popular contemporary jazz and jazz-influenced singers of our time. She was a member of Wax Poetic before her debut album Come Away with Me. She can still be heard singing with them on two tracks of their release, NuBlu Sessions.Her debut album Come Away with Me was released in 2002 and sold 26 million copies worldwide. It won 5 Grammy Awards in 2003.Her second album, Feels Like Home <a href=""https://www.last.fm/music/Norah+Jones"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/1b9a1c9165c54ceeb77c603458c70db5.png
OAR,Oar,"$70,000",,20633,195581,TRUE,"With a mutual love of star wars, monsters and doom Oar are a four piece from Birmingham UK. Formed in early 2010 they emerged onto the local scene scoring sets with the likes of local heroes Slab and Mercer. Due to a lineup change in early 2011 Oar are working towards a full length release later in the year.Their music comprises Sabbath-esque riffs with the heaviness of Electric Wizard and drives with the force of bands like Kylesa, Mastodon and Neurosis. For fans of sludge, doom and hard rock with a sense of humour  <a href=""https://www.last.fm/music/Oar"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/d47d2a7599e6458baec9bf6cd643ab36.png
Odd Future,Odd Future,"$62,500",519336c2-f5a3-4137-a88e-58fecc604575,0,0,TRUE,"""Odd Future"" is an alternate name for OFWGKTA. Scrobbles under this name will correct to OFWGKTA if you have autocorrect on. <a href=""https://www.last.fm/music/+noredirect/Odd+Future"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/6c41947462b74a82a2f5a0c2754d381c.png
Panic! At the Disco,Panic! at the Disco,"$50,000",b9472588-93f3-4922-a1a2-74082cdf9ce8,2090079,102374483,TRUE,"Panic! at the Disco is  American rock band hailing from Las Vegas, Nevada. The current sole member is vocalist/multi-instrumentalist Brendon Urie. As of 2018, the band has released six albums: A Fever You Can't Sweat Out (2005), Pretty. Odd. (2008), Vices & Virtues (2011), Too Weird to Live, Too Rare to Die! (2013), Death of a Bachelor (2016), and Pray for the Wicked (2018), with two Top 40 hits on the Hot 100 and four Top 10 hits on Alternative radio. <a href=""https://www.last.fm/music/Panic%21+at+the+Disco"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/27b4d45ce3f52f221ba648390b4afb43.png
Pat Benatar,Pat Benatar,"$62,500",6bc658ea-005f-486b-8f94-33a2e40f7a72,723933,6473907,TRUE,"Pat Benatar is a four-time Grammy winning musician with six platinum and four gold albums to her credit. Singing such hit singles as ""I Need a Lover"", ""Heartbreaker"", ""Fire and Ice"", ""Treat Me Right"", ""Hit Me with Your Best Shot"", ""Hell Is for Children"", ""Shadows of the Night"", and ""Love Is a Battlefield"", Benatar is acknowledged as one of the leading female rock vocalists in the industry.She was born in the neighborhood of Greenpoint in Brooklyn, New York City, New York on January 10, 1953 as Patricia Andrzejewski. <a href=""https://www.last.fm/music/Pat+Benatar"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/67be6bbf89094257ad3228280e841b36.png
Phillip Phillips,Phillip Phillips,"$75,000",838483d3-a803-4194-9754-ad634fba8553,352792,5458025,TRUE,"Phillip Phillips (born September 20, 1990 in Leesburg, Georgia, USA) is an American singer and winner of American Idol season 11.Phillips grew up in Leesburg, Georgia and went to Lee County High School. He graduated Albany Technical College, but had to miss the graduation ceremony due to being on American Idol.Phillips auditioned for American Idol in Savannah, Georgia. He auditioned by singing the Stevie Wonder song ""Superstition."" The judges then asked him to audition with his guitar where he performed Michael Jackson's ""Thriller. <a href=""https://www.last.fm/music/Phillip+Phillips"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/db1199be9c86f361c57b6d025486205e.png
Rise Against,Rise Against,"$87,500",606bf117-494f-4864-891f-09d63ff6aa4b,1999777,140234223,TRUE,"Rise Against are a punk/melodic hardcore band from Chicago, Illinois. Formed in 1999, and originally performing under the name Transistor Revolt, they released a self-produced demo entitled Transistor Revolt in 2000, a year before signing with Fat Wreck Chords to release their first two albums, The Unraveling in 2001, and Revolutions Per Minute in 2003. They later switched to Dreamworks Records and recorded their album Siren Song of the Counter Culture. <a href=""https://www.last.fm/music/Rise+Against"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/3ff3e84f2a87694f6b73d5d538731014.png
Sara Bareilles,Sara Bareilles,"$62,500",e54be6b7-5c26-4b47-bb3f-c137429b9b55,1346843,26304285,TRUE,"Sara Beth Bareilles (born December 7, 1979) is a Grammy-nominated American singer-songwriter and pianist.  Bareilles was born and raised in Eureka, California, United States. After graduating from UCLA in 2002, Bareilles performed at local bars and clubs. She issued two demos of mostly live tracks in 2003: The First One in April and The Summer Sessions in October.In January 2004, Bareilles released her first studio album, Careful Confessions. She signed a contract with Epic Records' A&R executive Pete Giberga on April 15, 2005. <a href=""https://www.last.fm/music/Sara+Bareilles"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/c29f24cc98d84c65b051e6775bb8a476.png
Sara Evans,Sara Evans,"$62,500",773af101-792f-48b8-a588-09a07cff5e53,345680,2888799,TRUE,"Sara Lynn Evans was born February 5, 1971, and raised on a farm near New Franklin, Missouri as the oldest girl amongst seven children. Music has always been a part of her life and by age five was singing every weekend in her family's band. When she was sixteen, she began performing at a nightclub near Columbia, Missouri, a gig that lasted two years.She moved to Nashville, Tennessee in 1991 with the goal of becoming a country artist. Songwriter Harlan Howard heard Sara as she sung a demo of one of his songs <a href=""https://www.last.fm/music/Sara+Evans"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/083f7b0b11484b9d99737bb4da2d2069.png
Seether,Seether,"$87,500",fbcd7b29-455f-49e6-9c4f-8249d20a055e,1583677,42041412,TRUE,"Seether is a post-grunge/alternative metal band which formed in Pretoria, South Africa in 1999. The band currently consists of Shaun Morgan (vocals, guitar), Dale Stewart (bass, vocals) and John Humphrey (drums). The band has released six albums and is currently signed to Wind-Up Records in the United States.Early days, Fragile, DisclaimerThe band was originally called Saron Gas, but changed their name to Seether.Saron Gas had their origins in Johannesburg <a href=""https://www.last.fm/music/Seether"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/d57493bbc6ce4e49944641ab63426c55.png
Selena Gomez,Selena Gomez,"$105,000",e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,916348,35071060,TRUE,"Selena Marie Gomez, born July 22, 1992 is an American actress and singer.Gomez may have started her career as an actress starring in a Disney Channel series at the age of 15, but she soon showed that her musical talents were perhaps even stronger as she piled up hit singles and chart-topping albums. She grew up in Texas and got her first break as a cast member on the kids' TV show Barney and Friends. Gomez landed minor roles in several other TV programs <a href=""https://www.last.fm/music/Selena+Gomez"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/a5b77315b23d7db854b5b20492e33152.png
Shinedown,Shinedown,"$87,500",adc0f033-95c2-4e0b-87bc-c23ed3f26ce6,1138242,33048293,TRUE,"Shinedown is a Hard Rock band from Jacksonville, Florida. Shinedown was formed in early 2002 by Brent Smith, Jasin Todd, Brad Stewart, and Barry Kerch. They have released six albums on Atlantic Records: ""Leave a Whisper"" (2003),""Us and Them"" (2005), ""The Sound of Madness"" (2008), ""Amaryllis"" (2012), ""Threat to Survival"" (2015) and ""Attention Attention"" (2018). As of 2018, the band has had 23 Top 5 hits on Mainstream Rock radio, including 12 number one singles, and a Top 10 hit on the Hot 100 with ""Second Chance"". <a href=""https://www.last.fm/music/Shinedown"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/02e750749ccf44a992f0b39ae41f6365.png
Skillet,Skillet,"$62,500",1caf6919-a2ff-4b6b-85bc-c06add35f689,1196143,39470174,TRUE,"Skillet is an American rock band formed in Memphis, Tennessee, consisting of all Christian members.Skillet formed in 1996 with two members: John Cooper, former vocalist for Tennessee progressive rock band Seraph, and Ken Steorts, former guitarist for Urgent Cry. The two bands met through touring together, but those bands disbanded soon after, so John and Ken's pastor encouraged them to form their own band as a side-project. Coming from different styles of rock music, they decided to name the experiment Skillet. <a href=""https://www.last.fm/music/Skillet"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/03bfd014d3864edccefc5f5d2832c8c8.png
Snoop Dog/Lion,unknown,"$87,500",unknown,0,0,TRUE,unknown,unknown
Snow Patrol,Snow Patrol,"$50,000",a66999a7-ae5c-460e-ba94-1a01143ae847,2941865,87754401,TRUE,"Snow Patrol are an alternative rock band that formed in Dundee, Scotland, United Kingdom in 1994 and currently based in Bangor, Northern Ireland, where most of the band members are from. They consist of Gary Lightbody (vocals, guitar), Nathan Connolly (guitar, vocals), Paul Wilson (bass), Tom Simpson (keyboards) and Jonny Quinn (drums). Lightbody and Quinn are the only original members who remain in the band. The band became wildly successful on both sides of the Atlantic on the back of their fourth record <a href=""https://www.last.fm/music/Snow+Patrol"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/d5b0ebdf4892e21d69716d183d6095a4.png
Soulja Boy,Soulja Boy,"$62,500",29eead4d-3793-4625-8727-c03edbb38b8b,1049889,7796222,TRUE,"DeAndre Cortez Way (born July 28, 1990 in Chicago, Illinois), better known by his stage name Soulja Boy Tell ã®´ã®´ã®´Em or simply Soulja Boy, is a Grammy nominated rapper, dancer and producer. He shot to fame in September 2007, when his single ã®´ã®´ã®´Crank That (Soulja Boy)ã®´Íù reached number one on the Billboard Top 100. He released his debut album, Unsigned & Still Major: Da Album Before da Album in 2007 and followed this with 2007ã®´Í¶s souljaboytellem.com and 2008ã®´Í¶s iSouljaBoyTellem. <a href=""https://www.last.fm/music/Soulja+Boy"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/dd4ae098cbf641158d48c3abf61f225d.png
Staind,Staind,"$70,000",777a21a8-0d0f-4cf3-86b4-65bc0eba5649,1500332,30019732,TRUE,"Staind is an alternative metal band formed on November 24, 1995 in Springfield, Massachusetts, United States. After meeting through friends and covering pop hits of the day in smalltime clubs for a year and a half, Staind self-released their debut album, Tormented, in November 1996, citing influences in brutal latin thrash metal. Until recently, the album was difficult to obtain, as only four thousand copies were originally sold. Since then, the band's official website has released the album to meet the demand from fans. <a href=""https://www.last.fm/music/Staind"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/e4085862f24c461badb122460eec7187.png
Steve Aoki,Steve Aoki,"$62,500",a39acc4a-985e-4173-a9ed-f325f2d3bc1c,563755,7754144,TRUE,"Steve Aoki, the DJ/Producer, grew up in Newport Beach, CA, and went to college at UCSB. In his early 20s, he founded his own label, Dim Mak Records, in 1996. The label has released music by other electro house artists such as Datsik, Infected Mushroom, Dada Life, Zeds Dead, his own collaboration with Tiã®´ã®´sto, MSTRKRFT, The Bloody Beetroots, Felix Cartal and Mustard Pimp, as well as by Bloc Party, Battles, The Kills, The Gossip, Klaxons, Scanners, Whitey, and Mystery Jets to name a few. The label has released over 250 records so far. <a href=""https://www.last.fm/music/Steve+Aoki"">Read more on Last.fm</a>",https://lastfm-img2.akamaized.net/i/u/300x300/feadf4e8f3f242daa8d9d0453728bccd.png
Steve Martin & Steep,Steve Martin ,"$87,500",,0,0,TRUE," <a href=""https://www.last.fm/music/Steve+Martin+"">Read more on Last.fm</a>",
